date,buy,sell
2022-09-14,14786.69,14935.31
2022-09-13,14764.81,14913.19
2022-09-12,14771.77,14920.23
2022-09-09,14830.48,14979.52
2022-09-08,14852.36,15001.64
2022-09-07,14810.58,14959.42
2022-09-06,14845.4,14994.6
2022-09-05,14825.5,14974.5
2022-09-02,14809.58,14958.42
2022-09-01,14778.74,14927.26
2022-08-31,14800.63,14949.38
2022-08-30,14812.57,14961.43
2022-08-29,14739.93,14888.07
2022-08-26,14752.86,14901.14
2022-08-25,14776.75,14925.25
2022-08-24,14818.53,14967.47
2022-08-23,14807.59,14956.41
2022-08-22,14783.71,14932.29
2022-08-19,14747.89,14896.11
2022-08-18,14693.17,14840.83
2022-08-16,14653.36,14800.64
2022-08-15,14614.56,14761.44
2022-08-12,14725.0,14873.0
2022-08-11,14800.63,14949.38
2022-08-10,14787.69,14936.31
2022-08-09,14840.42,14989.58
2022-08-08,14829.48,14978.52
2022-08-05,14854.35,15003.65
2022-08-04,14842.42,14991.58
2022-08-03,14813.56,14962.44
